store_id,captured_demand
0,29007.249246252926
1,22406.58840675206
2,29229.857280724573
3,26781.888778437733
4,24375.399459894812
5,10139.09244733835
6,10149.071577765511
7,33810.33340593417
8,45992.15254942583
9,34382.592294777525
10,22457.23408697744
11,48750.39506844122
12,20103.52727394466
13,45782.40590418895
14,27014.416687767334
15,10924.865093610611
16,21660.038326342663
17,12034.596495616046
18,11467.744474741303
19,11951.703819677576
20,11957.393010132351
21,19580.523005066258
22,41276.57469918641
23,22332.810396089862
24,21128.522422526585
25,22663.651038547272
26,20878.38786876801
27,20568.887775026436
28,22680.377261418253
29,27550.359628813327
30,19984.062204840855
31,61571.38524245286
32,20544.13493649444
33,21509.783055042375
34,32394.83531029669
35,19065.00564032042
36,23425.831858229023
37,20976.706847938724
38,19875.142651275077
39,18650.598691083702
40,32473.790902159315
41,23903.111466249706
42,25278.19214231024
43,20109.45532245216
44,10535.038143789023
45,20769.84470882705
46,20025.5155629312
47,25587.163456432503
48,26758.41500636565
49,35845.00853895552
50,22422.934916684644
51,30157.65847189736
52,20807.579750206103
53,21935.701014085742
54,24588.122015135752
55,30295.45561640263
56,24631.645366183133
57,38773.55723848875
58,20143.55301996655
59,10622.786460004241
60,10576.972124165182
61,10672.766807151831
62,11611.892095363917
63,33918.07553172008
64,27335.355432175646
65,22755.991639875894
66,31249.650512216656
67,35047.56997537486
68,42425.08521149904
69,26427.925767844743
70,26852.14789894336
71,29375.909793647337
72,21246.25018931118
73,22774.363594637754
74,27365.779708979695
75,64409.015816935964
76,41648.06618616032
77,71883.73543910806
78,27245.05524639338
79,38101.84102981027
80,35325.358031140095
81,25517.613767776165
82,20290.92390382672
83,21835.246402467754
84,23769.72586986635
85,32285.385746505883
86,26476.13480039179
87,19563.279449963957
88,20858.297876963006
89,29067.665125479405
90,34960.76527701276
91,19901.14946917887
92,19447.829915770097
93,19636.98142632236
94,19139.592093689025
95,19333.701312321893
96,28257.10727541949
97,19554.22283964972
98,22486.529432985826
99,30101.17391089337
100,27203.953153846458
101,19132.302867392653
102,28672.012524146943
103,40124.51004206664
104,21611.308632158674
105,41638.90627227111
106,27581.904632569684
107,54056.47465974692
108,67678.92052110704
109,20069.15992297145
110,21020.734841591067
111,30249.296029506237
112,27207.429966632597
113,29149.296663365305
